공연시설ID,공연시설명,공연장수,시설특성,개관연도,객석수,전화번호,홈페이지,주소,위도,경도,레스토랑여부,카페여부,편의점여부,놀이방여부,수유실여부,장애시설_주차장,장애시설_화장실,장애시설_경사로,장애시설_엘리베이터,주차시설여부,mt13s,returncode,errmsg,responsetime,시군구,시도
FC003643,경기대학교 퍼포먼스홀,1.0,공공(기타),,0.0,,,서울특별시 서대문구 경기대로9길 63 (충정로3가),37.5640778,126.9606438,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC003298,플레이그라운드 브루어리,1.0,민간(대학로 외),,0.0,,,경기도 고양시 일산서구 이산포길 246-11(법곳동),37.667533,126.7018167,N,N,N,N,N,N,N,N,N,N,,,,,고양시,경기도
FC001958,반포심산아트홀,1.0,공공(기타),2011.0,405.0,02-3477-2666,www.seochocf.or.kr,서울특별시 서초구 사평대로 55 (반포동),37.4988598,126.9905166,N,N,N,N,N,Y,Y,N,N,Y,,,,,서초구,서울특별시
FC003616,RCM 스튜디오,1.0,민간(대학로 외),,20.0,,http://www.rcm-studio.co.kr/,서울특별시 성동구 왕십리로 58 (성수동1가),37.5426959,127.0452053,N,N,N,N,N,N,N,N,N,Y,,,,,성동구,서울특별시
FC001863,롯데백화점 문화홀 [평촌],1.0,민간(대학로 외),,420.0,031-8086-0728,https://www.lotteshopping.com/branchShopGuide/floorGuideSub,경기도 안양시 동안구 시민대로 180 (호계동),37.3918595,126.9571155,Y,Y,N,N,Y,Y,N,N,N,Y,,,,,안양시,경기도
FC002417,라까사 호텔 [서울],1.0,기타(비공연장),,30.0,02-6711-9000,https://www.hotellacasa.kr/,서울특별시 강남구 도산대로1길 83 (신사동),37.521989,127.0195476,Y,N,N,N,N,Y,Y,Y,N,Y,,,,,강남구,서울특별시
FC002399,세종대학교 광개토관,2.0,민간(대학로 외),,3060.0,02-3408-3114,http://www.sejong.ac.kr/sejong/oncampus_03.html,서울특별시 광진구 능동로 209 (군자동),37.5506912,127.0741193,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,,,광진구,서울특별시
FC003752,허클베리핀 작업실,1.0,기타(비공연장),,0.0,,,서울특별시 서대문구 연희로 227 (연희동) 러브아트빌딩 신관 지하3층,37.5773962,126.9354279,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC002005,슈피겐홀,1.0,민간(대학로 외),2018.0,72.0,02-6713-6410,https://hall.modoo.at/,서울특별시 강남구 봉은사로 446 (삼성동),37.5113308,127.0484368,N,Y,N,N,N,Y,Y,N,Y,Y,,,,,강남구,서울특별시
FC003008,월드케이팝센터,1.0,민간(대학로 외),,0.0,,http://w-kpop.com/,서울특별시 중구 장충단로 72(장충동2가),37.5516384,127.0025232,N,N,N,N,N,N,N,N,N,N,,,,,중구,서울특별시
FC002261,이충문화체육센터,1.0,공공(기타),,1757.0,031-8024-7440,https://www.pyeongtaek.go.kr/pyeongtaek/contents.do?mId=1404000000,경기도 평택시 장안웃길 149 (이충동),37.0650848,127.0723579,N,N,N,N,N,Y,Y,N,Y,Y,,,,,평택시,경기도
FC002615,화성종합경기타운,2.0,기타(비공연장),2011.0,40423.0,031-371-0011,https://www.hsuco.or.kr/www/M040000/M040500/M0405007/M04050071.jsp,경기도 화성시 향남읍 향남로 470,37.1375438,126.9242565,N,N,N,N,N,Y,N,N,N,Y,,,,,화성시,경기도
FC001859,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),1.0,민간(대학로),2018.0,200.0,070-7733-7198,,서울특별시 종로구 동숭길 94 (동숭동),37.5824158,127.004328,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC001991,송도케이라이브극장,1.0,민간(대학로 외),,116.0,032-765-1532,https://klivesongdo.modoo.at/,인천광역시 연수구 송도과학로16번길 33-4 (송도동),37.3786776,126.6627964,Y,Y,N,N,N,Y,N,N,N,Y,,,,,연수구,인천광역시
FC003378,스튜디오 일상,1.0,민간(대학로 외),,0.0,,,서울특별시 성북구 삼선교로10길 3(삼선동2가),37.5878433,127.0089396,N,N,N,N,N,N,N,N,N,N,,,,,성북구,서울특별시
FC002361,반쥴,1.0,기타(비공연장),,70.0,02-735-5437,http://www.banjul.co.kr/,서울특별시 종로구 삼일대로17길 23 (관철동),37.5690724,126.9861858,N,Y,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC002038,채널 1969,1.0,민간(대학로 외),,150.0,010-5581-1112,https://www.instagram.com/channel1969.seoul/,서울특별시 마포구 연희로 35 (연남동),37.5619544,126.9269742,N,Y,N,N,N,Y,N,N,N,Y,,,,,마포구,서울특별시
FC003414,M50클럽,1.0,민간(대학로),,0.0,,,서울특별시 마포구 월드컵북로6길 60 (동교동),37.5592749,126.9216589,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001914,안양종합운동장,1.0,공공(기타),1986.0,6690.0,031-389-5227,https://www.auc.or.kr/aysc/main/view,경기도 안양시 동안구 평촌대로 389 (비산동),37.405515,126.94769,N,N,N,N,N,Y,N,N,N,Y,,,,,안양시,경기도
FC002325,식스티세컨즈 라운지,1.0,기타(비공연장),,50.0,02-2076-6060,https://www.60s.co.kr/,서울특별시 용산구 장문로 29 (동빙고동),37.5283371,126.993918,N,N,N,N,N,N,N,N,N,Y,,,,,용산구,서울특별시
FC003476,SILICA GEL VINYL POP-UP,1.0,기타(비공연장),,100.0,,,서울특별시 마포구 와우산로33길 27 (서교동),37.5555529,126.9288875,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001838,베짱이홀,1.0,민간(대학로 외),2013.0,200.0,02-322-4241,http://bezzang-e.com/,서울특별시 마포구 독막로15길 3-12 (상수동),37.5484185,126.92151160000004,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002048,클럽 스틸페이스,1.0,민간(대학로 외),2010.0,1500.0,010-7430-6640,http://steelface.com/,서울특별시 마포구 잔다리로 10 (서교동),37.5509086,126.9220238,Y,Y,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC000840,계양문화회관,1.0,공공(문예회관),1997.0,795.0,032-551-6602,http://www.gysiseol.or.kr/culturebuilding/main/index.php,인천광역시 계양구 계양산로35번길 11 (계산동),37.5461360583772,126.718079789918,N,N,N,N,N,Y,N,N,N,Y,,,,,계양구,인천광역시
FC002293,클럽 MODECi(모데시),1.0,민간(대학로 외),,0.0,010-9247-0895,https://www.facebook.com/club.MODECi,서울특별시 마포구 와우산로 64 (상수동),37.5502427,126.9232874,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001975,톤스튜디오 서울,1.0,민간(대학로 외),2002.0,39.0,02-3141-4605,http://tonestudio.co.kr/,서울특별시 마포구 성미산로 64-5 (성산동),37.5593835,126.9154822,N,N,N,N,N,N,Y,Y,N,Y,,,,,마포구,서울특별시
FC003467,리엠아트센터 LEEAM ART CENTER,2.0,민간(대학로 외),,270.0,,,서울특별시 강남구 학동로2길 56 (논현동),37.5079364,127.0235958,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC002314,서수원칠보체육관,1.0,공공(기타),2016.0,4036.0,031-259-5400,https://www.suwonudc.co.kr/suwonsc2/mainPage.do,경기도 수원시 권선구 서수원로577번길 171 (금곡동),37.2756255,126.9481651,N,Y,N,N,N,Y,N,N,N,Y,,,,,수원시,경기도
FC000738,부암아트홀,1.0,민간(대학로 외),1995.0,120.0,02-391-9631,,서울특별시 종로구 자하문로 242 (부암동),37.595711,126.9640743,Y,N,N,N,N,N,N,N,N,Y,,,,,종로구,서울특별시
FC003620,스튜디오 별감,1.0,민간(대학로 외),2023.0,0.0,,https://www.byulgam.com/,서울특별시 마포구 월드컵로5길 20 (합정동),37.5519606,126.9112206,N,N,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC002402,롯데시네마 [월드타워],21.0,기타(비공연장),,4276.0,00-1544-8855,https://www.lottecinema.co.kr/NLCHS/Cinema/Detail?divisionCode=2&detailDivisionCode=0941&cinemaID=1016,서울특별시 송파구 올림픽로 300 (신천동),37.5131011,127.1034317,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,,,송파구,서울특별시
FC002323,라이브클럽 협동조합,1.0,기타(비공연장),,0.0,02-322-2218,http://xindieticket.kr/,서울특별시 마포구 어울마당로 61 (서교동),37.5505007,126.9210012,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC003633,서대문독립공원,1.0,국립,1992.0,0.0,,,서울특별시 서대문구 통일로 251 (현저동),37.5746085,126.9556118,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC001893,건설회관,1.0,민간(대학로 외),,674.0,,,서울특별시 강남구 언주로 711 (논현동),37.5173236,127.03414799999996,Y,Y,N,N,N,Y,N,N,N,Y,,,,,강남구,서울특별시
FC002165,오남도서관,1.0,공공(기타),2010.0,310.0,031-590-8531,https://lib.nyj.go.kr/onam/index.jsp,경기도 남양주시 오남읍 양지로240번길 12,37.6980539,127.198237,N,N,Y,N,Y,Y,Y,N,N,Y,,,,,남양주시,경기도
FC003603,연극패 청년,1.0,민간(대학로 외),,10.0,010-2634-7976,,서울특별시 영등포구 양산로 150 (당산동1가),37.5234207,126.8996307,N,N,N,N,N,N,N,N,N,N,,,,,영등포구,서울특별시
FC003299,롯데백화점 문화홀 [김포공항],1.0,민간(대학로 외),,336.0,00-1577-0001,https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0340,서울특별시 강서구 하늘길 지하77(방화동),37.5623132,126.8012784,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,강서구,서울특별시
FC001835,하하하 소극장,1.0,민간(대학로 외),2017.0,71.0,032-715-8357,,인천광역시 부평구 부평문화로 77 (부평동),37.4942691,126.72490419999995,N,N,N,N,N,N,N,N,N,N,,,,,부평구,인천광역시
FC003656,성수문화예술마당(구.삼표 레미콘부지),1.0,민간(대학로 외),2023.0,0.0,,,서울특별시 성동구 고산자로 71 (성수동1가),37.5456933,127.0360891,N,N,N,N,N,N,N,N,N,N,,,,,성동구,서울특별시
FC001847,을지공간,1.0,민간(대학로 외),2018.0,50.0,010-2104-7293,https://www.euljispace.com/,서울특별시 중구 창경궁로5길 5 (을지로4가),37.5670744,126.9976782,N,Y,N,N,N,N,N,N,N,N,,,,,중구,서울특별시
FC002319,문악HOM,1.0,민간(대학로 외),2019.0,20.0,02-337-9966,https://moonak.modoo.at/,서울특별시 마포구 양화로15안길 6 (서교동),37.554442,126.9188694,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC003601,극단틈새소극장,1.0,민간(대학로 외),2012.0,56.0,010-3286-7993,,서울특별시 관악구 남부순환로 1695 (봉천동),37.483917,126.9388891,N,N,N,N,N,N,N,N,N,N,,,,,관악구,서울특별시
FC000161,민속극장풍류,1.0,공공(기타),1997.0,164.0,02-3011-2178,http://www.chf.or.kr/c4/sub1.jsp,서울특별시 강남구 봉은사로 406 (삼성동),37.5101779,127.04462250000006,N,N,N,N,N,N,N,N,N,Y,,,,,강남구,서울특별시
FC001814,북극곰소극장(구.아뮤스소극장),1.0,민간(대학로),2019.0,37.0,010-4293-5155,https://bookbear23.modoo.at/,서울특별시 종로구 이화장1길 24 (이화동),37.5773694,127.00575709999998,N,N,N,N,N,N,Y,N,N,N,,,,,종로구,서울특별시
FC002316,취향관 (폐관),1.0,민간(대학로 외),2018.0,30.0,02-332-3181,https://www.project-chwihyang.com/,서울특별시 마포구 월드컵로5길 20 (합정동),37.5518885,126.9112265,N,Y,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC003513,쎄서미 뮤지엄,1.0,민간(대학로 외),2022.0,100.0,070-7719-0777,https://www.sesamemuseum.com/,"인천광역시 연수구 인천타워대로 253-25 (송도동, 아트윈 푸르지오)",37.4101014,126.6782749,N,N,N,N,N,N,N,N,N,N,,,,,연수구,인천광역시
FC003596,살라1,1.0,민간(대학로 외),,0.0,,,서울특별시 마포구 동교로 47 (망원동),37.5530351,126.9074272,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC003402,인하대학교,1.0,기타(비공연장),,0.0,,,인천광역시 미추홀구 인하로 100 (용현동),37.451448,126.6515423,N,N,N,N,N,N,N,N,N,N,,,,,미추홀구,인천광역시
FC000210,신촌아트레온,2.0,기타(비공연장),2012.0,220.0,02-364-8900,http://blog.naver.com/movingon12,서울특별시 서대문구 신촌로 129 (창천동),37.5564776,126.94021739999994,N,N,N,N,N,N,N,N,N,Y,,,,,서대문구,서울특별시
FC001811,KOCCA콘텐츠문화광장,1.0,공공(기타),2017.0,193.0,02-6310-0776,https://edu.kocca.kr/testbed/main/main.do,서울특별시 동대문구 회기로 66 (청량리동),37.590963,127.044576,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,동대문구,서울특별시
FC001885,JDB스퀘어,1.0,민간(대학로 외),2018.0,120.0,02-332-6967,,서울특별시 마포구 잔다리로 31 (서교동),37.551302,126.92005540000002,N,Y,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002365,에이아트스튜디오(A art studio),1.0,기타(비공연장),,0.0,010-6632-2584,http://a-artstudio.com/,서울특별시 강남구 논현로 130 (도곡동),37.4814806,127.0434881,N,N,N,N,N,N,N,N,N,Y,,,,,강남구,서울특별시
FC002288,호은성,1.0,기타(비공연장),,0.0,02-6403-3222,,서울특별시 서초구 서래로 31 (반포동),37.4980239,126.9981182,N,N,N,N,N,N,N,N,N,N,,,,,서초구,서울특별시
FC001066,북촌창우극장,1.0,민간(대학로 외),1993.0,100.0,02-747-3809,https://bcchangwoo.modoo.at/,서울특별시 종로구 창덕궁길 29-6 (원서동),37.5788675,126.98884450000004,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003524,종로인사동일대,1.0,기타(비공연장),,0.0,,,서울특별시 종로구 대학로5길 57 (연건동),37.5765586,127.00145,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC002333,인천문화아트홀,1.0,민간(대학로 외),,50.0,010-2023-1774,,인천광역시 남동구 문화로 119 (구월동) 지하1층,37.4497005,126.6993338,N,N,N,N,N,Y,N,N,N,Y,,,,,남동구,인천광역시
FC003626,직장인극단 함바꿈,1.0,민간(대학로 외),2000.0,10.0,010-3286-7993,,경기도 부천시 석천로2번길 83 (상동),37.4871416,126.7642874,N,N,N,N,N,N,N,N,N,N,,,,,부천시,경기도
FC001818,공감센터,1.0,민간(대학로 외),2006.0,1024.0,02-2234-5211,https://jctown.modoo.at/,서울특별시 중구 퇴계로88길 38 (신당동),37.5640044,127.02019799999994,N,Y,N,N,N,N,Y,N,N,N,,,,,중구,서울특별시
FC003787,경로당,1.0,기타(비공연장),,0.0,,,서울특별시 은평구 통일로 935 (갈현동),37.6265092,126.9195228,N,N,N,N,N,N,N,N,N,N,,,,,은평구,서울특별시
FC002304,게토얼라이브,1.0,민간(대학로 외),,75.0,02-461-1125,https://www.ghettoalive.com/,서울특별시 성동구 왕십리로 104 (성수동1가) 정일빌딩,37.5468641,127.0448704,N,N,N,N,N,N,N,N,N,N,,,,,성동구,서울특별시
FC001815,마루아트홀,1.0,민간(대학로),2018.0,170.0,070-4618-5753,https://www.instagram.com/my_ps_partner_maruart/,서울특별시 종로구 대학로8가길 30 (동숭동),37.582253,127.0025458,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003772,디오니소스라운지,1.0,기타(비공연장),,0.0,,,서울특별시 강남구 강남대로 548 (논현동),37.5110346,127.0218871,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC002187,클럽 페이더,1.0,기타(비공연장),,0.0,010-5244-9455,http://fader.co.kr/,서울특별시 용산구 우사단로 43 (이태원동) 지하1층,37.5341504,126.9954291,N,N,N,N,N,N,N,N,N,N,,,,,용산구,서울특별시
FC003361,공간 아진,1.0,민간(대학로 외),,0.0,,https://www.instagram.com/space_ajin/,서울특별시 동작구 사당로30길 163(사당동),37.4774867,126.9807836,N,N,N,N,N,N,N,N,N,N,,,,,동작구,서울특별시
FC003768,이동형공연(수유동일대),1.0,기타(비공연장),,0.0,,,서울특별시 강북구 도봉로 지하198 (미아동),37.6264436,127.0261034,N,N,N,N,N,N,N,N,N,N,,,,,강북구,서울특별시
FC002153,문화비축기지,6.0,공공(기타),,11180.0,02-376-8410,http://parks.seoul.go.kr/template/sub/culturetank.do,서울특별시 마포구 증산로 87 (성산동),37.5716073,126.895369,N,N,N,N,N,Y,Y,N,N,Y,,,,,마포구,서울특별시
FC001836,경기상상캠퍼스 M3,3.0,공공(기타),2016.0,276.0,031-296-1980,http://sscampus.kr/,경기도 수원시 권선구 서둔로 166 (서둔동),37.2629491,126.9817372,N,Y,N,N,N,Y,N,N,N,Y,,,,,수원시,경기도
FC003462,스케치홀 (구.소극장 선물 1관),2.0,민간(대학로),,20.0,,,서울특별시 종로구 동숭길 145 (동숭동),37.5831766,127.0022799,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC002347,Cafe vave(베이브),1.0,기타(비공연장),,0.0,02-6404-3737,https://www.instagram.com/cafe_vave/,서울특별시 마포구 월드컵북로4길 29 (동교동),37.5576726,126.9210525,N,Y,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001880,엘리펀트스페이스,1.0,민간(대학로 외),2018.0,40.0,02-332-4594,https://www.elespace.io/site/page/e/index/elespace,서울특별시 마포구 성미산로29길 30 (연남동),37.5552971,126.91601390000004,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC000835,강동어린이회관,1.0,공공(기타),2007.0,162.0,02-486-3516,http://www.gdkids.or.kr/,서울특별시 강동구 성내로6길 16 (성내동),37.5291338,127.12237800000004,N,Y,N,Y,Y,N,N,N,N,Y,,,,,강동구,서울특별시
FC003472,앤트러사이트 [서교],1.0,기타(비공연장),,0.0,,,서울특별시 마포구 월드컵로12길 11 (서교동),37.5555199,126.9116881,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002385,비플러스엠,1.0,기타(비공연장),,0.0,02-336-7181,http://www.bplusm.co.kr/,서울특별시 마포구 마포대로16길 7-14 (아현동),37.5511066,126.9567567,N,Y,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002124,반얀트리 클럽 앤 스파 [서울],3.0,기타(비공연장),2010.0,250.0,02-2250-8000,http://www.banyantreeclub.com/kr/facilities/the-oasis.asp,서울특별시 중구 장충단로 60 (장충동2가),37.550264,127.0005387,Y,N,N,N,N,N,N,N,N,Y,,,,,중구,서울특별시
FC001624,K-POP STAGE (구. 윤형빈소극장 [홍대] ),1.0,민간(대학로 외),2015.0,0.0,,https://www.instagram.com/kpop_stage__/,서울특별시 마포구 와우산로21길 29 (서교동),37.5521866,126.9223673,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002384,KG타워,1.0,기타(비공연장),,300.0,02-1588-7890,,서울특별시 중구 통일로 92 (순화동),37.5636128,126.9692588,N,Y,N,N,N,Y,N,Y,Y,Y,,,,,중구,서울특별시
FC002049,잠실학생체육관,1.0,공공(기타),1977.0,5400.0,02-422-2285,https://ssg.sen.go.kr/fus/MI000000000000000383/html/cont0010v.do,서울특별시 송파구 올림픽로 25 (잠실동),37.5164791,127.0729996,N,N,Y,N,N,Y,Y,Y,N,Y,,,,,송파구,서울특별시
FC003519,스페이스클라우드,1.0,민간(대학로 외),2013.0,15.0,,https://www.spacecloud.kr/space/42461,서울특별시 종로구 평창30길 15 (평창동),37.6111584,126.9747382,N,Y,N,N,N,N,N,N,N,Y,,,,,종로구,서울특별시
FC001853,언더스탠드에비뉴(신한두드림스페이스),1.0,민간(대학로 외),2017.0,120.0,02-725-5526,http://www.understandavenue.com/,서울특별시 성동구 왕십리로 63 (성수동1가),37.543443800000006,127.04450969999994,Y,Y,N,N,N,N,N,N,N,N,,,,,성동구,서울특별시
FC000303,작은극장 돌체,1.0,민간(대학로 외),2007.0,96.0,032-772-7361,http://www.clownmime.co.kr/,인천광역시 미추홀구 매소홀로 573 (문학동),37.438755,126.68573600000002,N,N,N,N,N,N,Y,N,Y,Y,,,,,미추홀구,인천광역시
FC002370,그레뱅뮤지엄,1.0,기타(비공연장),,120.0,02-777-4700,https://blog.naver.com/grevinseoul,서울특별시 중구 을지로 23 (을지로1가),37.5663398,126.9804046,N,Y,N,N,N,N,N,N,N,Y,,,,,중구,서울특별시
FC003665,씨드큐브 창동,1.0,민간(대학로 외),2023.0,0.0,,https://seedcubechangdong.com/,서울특별시 도봉구 마들로13길 61 (창동),37.6545399,127.0499263,Y,Y,Y,N,N,N,N,N,N,Y,,,,,도봉구,서울특별시
FC001862,허수아비소극장,1.0,민간(대학로),2018.0,30.0,010-5652-4807,https://hursootheater.modoo.at/,서울특별시 종로구 성균관로3길 20-4 (명륜3가),37.583318899999995,126.9970075,N,Y,N,N,N,N,N,N,N,Y,,,,,종로구,서울특별시
FC002303,클럽 A.O.R(All Of Rock),1.0,민간(대학로 외),,70.0,010-5500-8711,http://www.allofrock.co.kr/,서울특별시 마포구 와우산로 156 (서교동),37.5548494,126.9304125,N,N,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC001634,얘기아트씨어터,1.0,민간(대학로 외),2011.0,80.0,02-2138-2995,http://cafe.naver.com/yat21382995,서울특별시 마포구 고산길 30 (노고산동),37.5537508,126.93880719999991,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002197,당신의 여름,1.0,기타(비공연장),2014.0,50.0,070-4176-3311,http://www.yoursummer.net/,서울특별시 마포구 연남로3길 43-6 (연남동),37.5601301,126.920321,N,N,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC003393,앤트러사이트 [합정],1.0,기타(비공연장),,0.0,02-336-7850,https://anthracitecoffee.com/hapjeong,서울특별시 마포구 토정로5길 10 (합정동),37.545819,126.9184341,N,Y,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC003394,앤트러사이트 [한남],1.0,기타(비공연장),,0.0,02-797-7508,https://anthracitecoffee.com/hannam,서울특별시 용산구 이태원로 240 (한남동),37.5361092,127.0001638,N,N,N,N,N,N,N,N,N,N,,,,,용산구,서울특별시
FC002193,무대륙,1.0,기타(비공연장),2005.0,150.0,02-332-8333,https://www.facebook.com/Mudaeruk,서울특별시 마포구 토정로5길 12 (합정동),37.5459759,126.9184531,N,Y,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC003661,더 리스닝 룸,1.0,기타(비공연장),,0.0,,,서울특별시 마포구 동교로23길 98-9 (연남동),37.5597045,126.9180521,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001852,연희예술극장,1.0,민간(대학로 외),2018.0,100.0,010-3441-5877,http://yeonheeart.com/INTRO,서울특별시 서대문구 연희맛로 2-3 (연희동),37.5656012,126.92854110000007,N,Y,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC002119,와부읍주민자치센터,1.0,공공(기타),2008.0,240.0,031-521-6801,http://www.wabujumin.or.kr/,경기도 남양주시 와부읍 월문천로 35 (덕소리),37.5854341,127.2169723,N,N,N,N,N,Y,N,Y,N,Y,,,,,남양주시,경기도
FC001482,현대백화점 문화홀 [신촌],1.0,민간(대학로 외),2013.0,420.0,02-3145-3453,http://www.ehyundai.com/newCulture/CW/CW000001_V.do,서울특별시 서대문구 신촌로 83 (창천동),37.5565228,126.93575850000002,N,N,N,N,N,N,N,N,N,Y,,,,,서대문구,서울특별시
FC002638,클럽레드존캠핑장,1.0,기타(비공연장),,0.0,,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3113,경기도 가평군 가평읍 북한강변로 360-69,37.7600599,127.541017,N,N,N,N,N,N,N,N,N,N,,,,,가평군,경기도
FC003654,청춘예찬,1.0,민간(대학로 외),,85.0,010-8567-5992,https://www.ccyc.live/,서울특별시 마포구 신촌로2안길 30 (동교동),37.5570317,126.9285622,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001845,VERY (베리컴퍼니),2.0,민간(대학로),,266.0,02-3674-2525,,서울특별시 종로구 동숭3길 30 (동숭동),37.5822989,127.00477669999998,N,Y,N,N,N,N,Y,N,Y,N,,,,,종로구,서울특별시
FC002368,미스치프 플래그쉽 스토어,1.0,기타(비공연장),2019.0,0.0,070-8802-1992,http://www.mischief.co.kr/,서울특별시 강남구 압구정로46길 31 (신사동),37.526472,127.0362241,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC001704,수원화성행궁,2.0,공공(기타),1997.0,400.0,031-290-3600,http://www.swcf.or.kr/?p=62,경기도 수원시 팔달구 정조로 825 (남창동)경기도 수원시 팔달구 남창동  6-2 수원화성행궁,37.281792,127.01325199999997,N,N,N,N,N,Y,Y,Y,N,Y,,,,,수원시,경기도
