공연시설ID,공연시설명,공연장수,시설특성,개관연도,객석수,전화번호,홈페이지,주소,위도,경도,레스토랑여부,카페여부,편의점여부,놀이방여부,수유실여부,장애시설_주차장,장애시설_화장실,장애시설_경사로,장애시설_엘리베이터,주차시설여부,mt13s,returncode,errmsg,responsetime,시군구,시도
FC003596,살라1,1.0,민간(대학로 외),,0.0,,,서울특별시 마포구 동교로 47 (망원동),37.5530351,126.9074272,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC001066,북촌창우극장,1.0,민간(대학로 외),1993.0,100.0,02-747-3809,https://bcchangwoo.modoo.at/,서울특별시 종로구 창덕궁길 29-6 (원서동),37.5788675,126.98884450000004,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003524,종로인사동일대,1.0,기타(비공연장),,0.0,,,서울특별시 종로구 대학로5길 57 (연건동),37.5765586,127.00145,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003626,직장인극단 함바꿈,1.0,민간(대학로 외),2000.0,10.0,010-3286-7993,,경기도 부천시 석천로2번길 83 (상동),37.4871416,126.7642874,N,N,N,N,N,N,N,N,N,N,,,,,부천시,경기도
FC003787,경로당,1.0,기타(비공연장),,0.0,,,서울특별시 은평구 통일로 935 (갈현동),37.6265092,126.9195228,N,N,N,N,N,N,N,N,N,N,,,,,은평구,서울특별시
FC001815,마루아트홀,1.0,민간(대학로),2018.0,170.0,070-4618-5753,https://www.instagram.com/my_ps_partner_maruart/,서울특별시 종로구 대학로8가길 30 (동숭동),37.582253,127.0025458,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003772,디오니소스라운지,1.0,기타(비공연장),,0.0,,,서울특별시 강남구 강남대로 548 (논현동),37.5110346,127.0218871,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC003361,공간 아진,1.0,민간(대학로 외),,0.0,,https://www.instagram.com/space_ajin/,서울특별시 동작구 사당로30길 163(사당동),37.4774867,126.9807836,N,N,N,N,N,N,N,N,N,N,,,,,동작구,서울특별시
FC003768,이동형공연(수유동일대),1.0,기타(비공연장),,0.0,,,서울특별시 강북구 도봉로 지하198 (미아동),37.6264436,127.0261034,N,N,N,N,N,N,N,N,N,N,,,,,강북구,서울특별시
FC001836,경기상상캠퍼스 M3,3.0,공공(기타),2016.0,276.0,031-296-1980,http://sscampus.kr/,경기도 수원시 권선구 서둔로 166 (서둔동),37.2629491,126.9817372,N,Y,N,N,N,Y,N,N,N,Y,,,,,수원시,경기도
FC003462,스케치홀 (구.소극장 선물 1관),2.0,민간(대학로),,20.0,,,서울특별시 종로구 동숭길 145 (동숭동),37.5831766,127.0022799,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003519,스페이스클라우드,1.0,민간(대학로 외),2013.0,15.0,,https://www.spacecloud.kr/space/42461,서울특별시 종로구 평창30길 15 (평창동),37.6111584,126.9747382,N,Y,N,N,N,N,N,N,N,Y,,,,,종로구,서울특별시
FC000303,작은극장 돌체,1.0,민간(대학로 외),2007.0,96.0,032-772-7361,http://www.clownmime.co.kr/,인천광역시 미추홀구 매소홀로 573 (문학동),37.438755,126.68573600000002,N,N,N,N,N,N,Y,N,Y,Y,,,,,미추홀구,인천광역시
FC001852,연희예술극장,1.0,민간(대학로 외),2018.0,100.0,010-3441-5877,http://yeonheeart.com/INTRO,서울특별시 서대문구 연희맛로 2-3 (연희동),37.5656012,126.92854110000007,N,Y,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC001845,VERY (베리컴퍼니),2.0,민간(대학로),,266.0,02-3674-2525,,서울특별시 종로구 동숭3길 30 (동숭동),37.5822989,127.00477669999998,N,Y,N,N,N,N,Y,N,Y,N,,,,,종로구,서울특별시
FC003668,13블럭 소극장,1.0,민간(대학로 외),2023.0,60.0,010-7720-8607,https://www.instagram.com/play_block13/,경기도 고양시 일산동구 강촌로26번길 7-21 (백석동),37.6470888,126.7801102,N,N,N,N,N,N,N,N,N,Y,,,,,고양시,경기도
FC000065,한국문화의집 KOUS,1.0,공공(기타),2003.0,230.0,02-3011-1788,http://www.kous.or.kr,서울특별시 강남구 테헤란로92길 12-9 (대치동),37.5067845,127.06046089999997,N,N,N,N,N,N,N,N,N,Y,,,,,강남구,서울특별시
FC003653,갤러리 산수,1.0,민간(대학로 외),,0.0,070-8202-4787,https://www.gallerysansu.com/,경기도 고양시 일산동구 산두로213번길 28 (정발산동),37.6743259,126.779578,N,N,N,N,N,N,N,N,N,N,,,,,고양시,경기도
FC003482,극단 제이와이,1.0,민간(대학로 외),,0.0,,https://theaterjy.modoo.at/,서울특별시 서대문구 신촌로 173-2 (대현동),37.5569788,126.9453455,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC002215,탈영역우정국,1.0,기타(비공연장),2015.0,80.0,02-336-8553,http://ujeongguk.com/,서울특별시 마포구 독막로20길 42 (창전동),37.5469478,126.9275954,N,N,N,N,N,N,N,Y,N,N,,,,,마포구,서울특별시
FC002055,NC소극장 [안산고잔],1.0,민간(대학로 외),,200.0,031-414-2100,https://blog.naver.com/manimani_ansan,경기도 안산시 단원구 광덕대로 194 (고잔동),37.3138933,126.8310464,Y,Y,Y,Y,Y,Y,N,N,N,Y,,,,,안산시,경기도
FC003504,기지촌여성평화박물관 일곱집매,1.0,기타(비공연장),,0.0,031-618-5535,,경기도 평택시 팽성읍 안정순환로126번길 25-4,36.9608545,127.0425407,N,N,N,N,N,N,N,N,N,N,,,,,평택시,경기도
FC002651,1M SPACE (폐관),1.0,민간(대학로 외),2019.0,55.0,,https://yellowclip.space/,서울특별시 서대문구 연세로4길 27 (창천동),37.5576008,126.9381984,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC003456,경민현대미술관,1.0,기타(비공연장),,0.0,,,"경기도 의정부시 시민로 24 (의정부동, 신도 아크라티움)",37.737859,127.037805,N,N,N,N,N,N,N,N,N,N,,,,,의정부시,경기도
FC002625,보광극장,1.0,민간(대학로 외),2017.0,30.0,010-6246-2449,https://bktheater.modoo.at/,서울특별시 용산구 장문로19길 4 (보광동),37.5260989,126.9977628,N,N,N,N,N,N,N,N,N,Y,,,,,용산구,서울특별시
FC002588,씨어터 쿰,1.0,민간(대학로),,111.0,02-6085-0015,,서울특별시 종로구 창경궁로 253-7 (명륜2가),37.5844442,126.9994928,N,N,N,N,N,N,N,N,N,Y,,,,,종로구,서울특별시
FC000841,콘텐츠박스(구. 르메이에르 씨어터),1.0,민간(대학로),2006.0,196.0,02-747-2232,,서울특별시 종로구 동숭길 55 (동숭동),37.5807178,127.00416599999994,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC001226,극장 동국,1.0,민간(대학로),2014.0,82.0,02-747-5296,https://www.facebook.com/PalyDongGuk,서울특별시 종로구 창경궁로 259,37.5845149,127.0000258,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC004422,아르코 꿈밭극장,1.0,공공(기타),2024.0,169.0,02-3668-0007,https://theater.arko.or.kr/,서울특별시 종로구 대학로12길 46 (동숭동),37.582042,127.003731,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003847,위크앨리,1.0,기타(비공연장),,25.0,010-7273-9577,,서울특별시 종로구 계동길 77 (계동),37.5807718,126.986622,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000227,미마지아트센터,3.0,민간(대학로),2008.0,382.0,02-6404-5005,http://www.mimagi.com/,서울특별시 종로구 혜화로 17 (명륜1가),37.5870645,126.99977209999996,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC001100,도곡2문화센터,1.0,공공(기타),2010.0,138.0,02-2176-0743,,서울특별시 강남구 남부순환로378길 34-9 (도곡동),37.4837128,127.04643740000006,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,강남구,서울특별시
FC004130,동성고등학교,1.0,민간(대학로),,0.0,02-3671-9100,,서울특별시 종로구 대학로 156 (혜화동),37.58497,127.0030976,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC001209,공간아울,1.0,민간(대학로),2010.0,172.0,02-3675-0116,,서울특별시 종로구 대학로 120 (동숭동),37.5818372,127.00227960000008,Y,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003832,실험무대702,1.0,민간(대학로 외),,50.0,,,서울특별시 서대문구 홍제천로 116 (연희동),37.5751406,126.9269318,N,N,N,N,N,N,N,N,N,N,,,,,서대문구,서울특별시
FC002650,성음아트센터,3.0,민간(대학로 외),2019.0,372.0,031-703-2064,http://searts.or.kr/,경기도 성남시 분당구 판교역로14번길 15 (백현동),37.3850359,127.1109981,N,Y,N,N,N,N,N,N,N,N,,,,,성남시,경기도
FC001682,민송아트홀 (구. 브로드웨이아트홀),2.0,민간(대학로),2017.0,466.0,02-766-8134,http://www.semyung.ac.kr/smenter/sub05_01.do,서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 6층,37.5839463,127.00204540000004,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC004116,재난피해자권리센터 우리함께,1.0,기타(비공연장),,0.0,,,서울특별시 중구 창경궁로 6 (충무로5가),37.5629291,126.9988258,N,N,N,N,N,N,N,N,N,N,,,,,중구,서울특별시
FC000188,한양레퍼토리씨어터,1.0,민간(대학로),2003.0,126.0,02-764-6460,http://www.hyrtheatre.com/theater/info.php,서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 지하1층,37.5839463,127.00204540000004,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003566,원효로 예수성심성당,1.0,기타(비공연장),,0.0,,,서울특별시 용산구 원효로19길 49 (원효로4가),37.5342094,126.9545934,N,N,N,N,N,N,N,N,N,N,,,,,용산구,서울특별시
FC004067,Bibistudio,1.0,민간(대학로 외),,12.0,,,서울특별시 은평구 갈현로 250 (갈현동),37.6191498,126.915675,N,N,N,N,N,N,N,N,N,N,,,,,은평구,서울특별시
FC001218,드림시어터 [대학로],1.0,민간(대학로),2012.0,126.0,010-3749-0221,https://bulltheatre.modoo.at/?link=cb6i15sg,서울특별시 종로구 대학로10길 15 - 11,37.5822206,127.00276359999998,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC004018,라온씨어터,1.0,민간(대학로),,0.0,,,서울특별시 종로구 대학로10길 12 (동숭동) 3층,37.5816149,127.0028075,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC001207,컬쳐씨어터(구. 휴먼시어터),1.0,민간(대학로),2016.0,120.0,010-9012-6001,,서울특별시 종로구 대학로8가길 80 (동숭동),37.5824518,127.0032519,Y,N,N,N,N,N,N,Y,Y,N,,,,,종로구,서울특별시
FC002471,군포시평생학습원,1.0,공공(기타),2006.0,87.0,031-390-3050,https://www.happygp.or.kr/,경기도 군포시 고산로 263 (당동),37.3463508,126.9430831,N,N,N,Y,Y,Y,Y,N,N,Y,,,,,군포시,경기도
FC000806,틴틴홀,1.0,민간(대학로),2003.0,244.0,02-764-8760,,서울특별시 종로구 대학로10길 24 (동숭동),37.5815685,127.00353990000008,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC003921,소다아트홀,1.0,민간(대학로 외),,0.0,,,"경기도 김포시 김포한강9로75번길 180 (구래동, 두원타워)",37.6449162,126.6244803,N,N,N,N,N,N,N,N,N,N,,,,,김포시,경기도
FC003915,온맘씨어터,1.0,민간(대학로 외),,100.0,,,서울특별시 마포구 어울마당로 94-8 (서교동),37.5531403,126.9222208,N,N,N,N,N,N,N,N,N,N,,,,,마포구,서울특별시
FC002677,소극장 플랫폼74,1.0,민간(대학로),2020.0,70.0,010-5150-9402,,서울특별시 종로구 동숭길 74 (동숭동),37.5815333,127.0043015,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000774,대학로단막극장,1.0,민간(대학로),1996.0,66.0,02-765-1544,,서울특별시 종로구 동숭4길 16-3 (동숭동),37.5832792,127.00456329999996,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC004135,창작집단 발아 랩실,1.0,기타(비공연장),,0.0,,,인천광역시 중구 참외전로27번길 2 (송월동1가),37.4798981,126.6233544,N,N,N,N,N,N,N,N,N,N,,,,,중구,인천광역시
FC003936,컬러드,1.0,기타(비공연장),,0.0,,,서울특별시 강남구 학동로3길 19 (논현동),37.512784,127.0220556,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC004020,브로일링커피 강동점,1.0,기타(비공연장),,0.0,010-3211-0435,,서울특별시 강동구 성내로10길 9-6 (성내동),37.5282637,127.1249507,N,N,N,N,N,N,N,N,N,N,,,,,강동구,서울특별시
FC002438,서울시민청,2.0,공공(기타),,100.0,02-739-5813,http://www.seoulcitizenshall.kr/,서울특별시 중구 세종대로 110 (태평로1가),37.5665845,126.9782041,N,Y,N,N,Y,Y,Y,N,Y,Y,,,,,중구,서울특별시
FC001121,나인진홀 (구.청년극장),3.0,민간(대학로),2010.0,208.0,070-4618-5632,,서울특별시 종로구 동숭길 47 (동숭동),37.580304,127.00424399999996,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000516,열린극장,1.0,민간(대학로),1999.0,150.0,02-743-6474,,서울특별시 종로구 창경궁로 258-12 (명륜2가),37.5836706,127.0003428,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC001142,R&J씨어터(구. 연진아트홀),1.0,민간(대학로),2006.0,127.0,02-747-1912,,서울특별시 종로구 낙산길 14 (동숭동),37.5802937,127.00526530000002,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000014,충무아트센터,5.0,공공(문예회관),2005.0,2045.0,02-2230-6601,www.caci.or.kr,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.01481309999996,Y,Y,N,Y,N,Y,Y,Y,N,Y,,,,,중구,서울특별시
FC001442,호은아트홀 (구. 키득키득아트홀),1.0,민간(대학로),2013.0,100.0,02-3673-1589,https://www.facebook.com/2012whoau,서울특별시 종로구 동숭길 68 (동숭동),37.5813131,127.0043055,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000825,피카소소극장,1.0,민간(대학로),2008.0,140.0,02-3672-7971,https://picassotheater.modoo.at/,서울특별시 종로구 대학로11길 38-11 (명륜4가),37.582654,127.00063039999998,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC004006,피사체 LAB,1.0,민간(대학로 외),,0.0,,,서울특별시 서초구 나루터로15길 30-9 (잠원동),37.5173461,127.0175763,N,N,N,N,N,N,N,N,N,N,,,,,서초구,서울특별시
FC001131,소월아트홀 (성동문화회관),1.0,공공(문예회관),1989.0,520.0,02-2204-6400,http://www.sdfac.or.kr/main/index.html,서울특별시 성동구 왕십리로 281,37.559276,127.03599370000006,N,N,N,N,Y,Y,Y,Y,N,Y,,,,,성동구,서울특별시
FC000332,평택시북부문예회관,2.0,공공(문예회관),1991.0,913.0,031-8053-3570,https://www.pyeongtaek.go.kr/alrimi/contents.do?mId=0204000000,경기도 평택시 경기대로 1366 (서정동),37.0668137,127.06494380000004,N,N,N,N,N,N,N,N,N,Y,,,,,평택시,경기도
FC002672,코스모40,1.0,기타(비공연장),,0.0,032-575-2319,http://cosmo40.com,인천광역시 서구 장고개로231번길 9 (가좌동),37.4865316,126.677912,Y,Y,N,N,N,N,N,N,N,Y,,,,,서구,인천광역시
FC001860,김희수아트센터,2.0,민간(대학로 외),2010.0,140.0,02-962-7911,http://www.soorimcf.or.kr/index.html,서울특별시 동대문구 홍릉로 118 (청량리동),37.5905713,127.0429186,N,Y,N,N,N,Y,N,N,N,Y,,,,,동대문구,서울특별시
FC002630,충동소극장,1.0,민간(대학로 외),,30.0,010-3906-8835,http://www.choongdong.com/,서울특별시 광진구 뚝섬로36길 49 (자양동),37.5322705,127.0706336,N,N,N,N,N,N,N,N,N,N,,,,,광진구,서울특별시
FC001216,서강대 메리홀,2.0,민간(대학로 외),1970.0,528.0,02-705-8743,maryhall.sogang.ac.kr/,서울특별시 마포구 백범로 35 서강대학교,37.5499528,126.9391127,N,N,N,N,N,N,N,N,N,Y,,,,,마포구,서울특별시
FC000032,강북문화예술회관,2.0,공공(문예회관),2001.0,839.0,02-944-8979,https://www.gbcf.or.kr/,서울특별시 강북구 삼각산로 85 (수유동),37.6407764,127.01315840000008,Y,N,Y,N,N,Y,Y,Y,Y,Y,,,,,강북구,서울특별시
FC000055,윤당아트홀,2.0,민간(대학로 외),2009.0,417.0,02-546-8095,http://www.ydart.co.kr/,서울특별시 강남구 언주로 844 (신사동),37.5256519,127.03371519999996,N,N,N,N,N,Y,N,Y,Y,Y,,,,,강남구,서울특별시
FC003986,효원소극장,1.0,민간(대학로 외),,0.0,,,서울특별시 강남구 선릉로 603 (논현동) 지하1층,37.5107746,127.0434538,N,N,N,N,N,N,N,N,N,N,,,,,강남구,서울특별시
FC002624,졸탄극장,1.0,민간(대학로),,179.0,070-8896-9401,,서울특별시 종로구 이화장길 58 (이화동),37.5778955,127.0046323,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000013,인천문화예술회관,5.0,공공(문예회관),1994.0,2258.0,032-427-8401,http://art.incheon.go.kr/,인천광역시 남동구 예술로 149 (구월동),37.4477666,126.70008329999996,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,남동구,인천광역시
FC000382,티오엠씨어터(구. 문화공간필링),3.0,민간(대학로),2014.0,555.0,00-1544-8303,http://www.towntom.com/,서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.00371659999996,N,N,N,N,N,N,N,N,N,Y,,,,,종로구,서울특별시
FC004024,아트스페이스 다스름,1.0,민간(대학로 외),,80.0,,,경기도 여주시 소양로 33 (하동),37.295693,127.629877,N,N,N,N,N,N,N,N,N,N,,,,,여주시,경기도
FC001310,인천아트플랫폼,1.0,공공(기타),2009.0,30.0,032-760-1000,http://www.inartplatform.kr,인천광역시 중구 제물량로218번길 3 - 0 인천아트플랫폼,37.4729295,126.6200473,N,Y,N,N,N,Y,Y,Y,Y,N,,,,,중구,인천광역시
FC002770,성북미디어문화마루 꿈빛극장,1.0,공공(기타),2021.0,323.0,02-6953-3201,,서울특별시 성북구 길음로7길 20 (길음동),37.6037552,127.0222037,N,N,N,N,N,N,N,N,N,N,,,,,성북구,서울특별시
FC001196,구리아트홀,4.0,공공(문예회관),2013.0,1030.0,031-580-7900,https://www.guriart.or.kr/PageLink.do,경기도 구리시 아차산로 453,37.5954358,127.12996380000004,N,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,구리시,경기도
FC000926,KBS 수원아트홀,1.0,공공(기타),2008.0,190.0,031-216-5201,http://www.kbssuwonart.co.kr/,경기도 수원시 팔달구 인계로 123 (인계동),37.271128,127.03089,N,Y,N,N,N,Y,N,N,N,Y,,,,,수원시,경기도
FC004207,진아트센터,1.0,민간(대학로 외),,189.0,,https://jinartcenter.modoo.at/?link=1zwath2f,경기도 수원시 영통구 매영로39번길 5 (매탄동),37.2695677,127.0471772,N,N,N,N,N,N,N,N,N,N,,,,,수원시,경기도
FC000633,토당청소년수련관,1.0,공공(기타),2003.0,286.0,031-970-0031,http://todangyc.or.kr/,경기도 고양시 덕양구 중앙로633번길 25 (토당동),37.622854,126.82776650000004,Y,Y,Y,N,N,Y,Y,N,Y,Y,,,,,고양시,경기도
FC000158,인천중구문화회관,1.0,공공(문예회관),2012.0,638.0,032-760-6400,http://artcenter.icjg.go.kr/,인천광역시 중구 축항대로296번길 81 (신흥동3가),37.4375263,126.6272199,N,N,N,N,N,Y,N,N,N,Y,,,,,중구,인천광역시
FC001266,소극장 공유,1.0,민간(대학로),2009.0,80.0,010-4879-0255,https://theater0you.modoo.at/,서울특별시 종로구 창경궁로 303 (혜화동),37.5875719,127.0032006,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000134,양주문화예술회관,3.0,공공(문예회관),1997.0,1851.0,031-828-9723,https://www.yjuc.or.kr/main/index.asp,경기도 양주시 광적면 부흥로618번길 303 양주문화예술회관,37.8131434,126.97215749999998,N,N,N,N,N,N,Y,Y,N,Y,,,,,양주시,경기도
FC002747,TINC This is Not a Church(구. 명성교회),1.0,민간(대학로),2020.0,0.0,,https://t-i-n-c.com/Info,서울특별시 성북구 동소문로10길 34-16 (삼선동4가),37.5888231,127.0108788,N,N,N,N,N,N,N,N,N,N,,,,,성북구,서울특별시
FC000127,고양아람누리,5.0,공공(문예회관),2007.0,4640.0,00-1577-7766,http://www.artgy.or.kr/aram/introduction.aspx,경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리,37.6614074,126.77433789999998,Y,Y,N,Y,N,Y,N,Y,N,Y,,,,,고양시,경기도
FC000784,금나래아트홀,1.0,공공(문예회관),2008.0,552.0,02-2627-2981,www.gcfac.or.kr,서울특별시 금천구 시흥대로73길 70 (시흥동),37.4564588,126.8959125,N,Y,Y,N,N,Y,Y,Y,N,Y,,,,,금천구,서울특별시
FC000570,동국대학교,4.0,민간(대학로 외),2008.0,732.0,02-2260-8901,http://www.xn--3i0by5pyxij4d72bsi666f.com/,서울특별시 중구 필동로1길 30 (필동3가),37.5582585,127.00324509999996,N,N,N,N,N,N,N,N,N,Y,,,,,중구,서울특별시
FC002766,보노마루,1.0,공공(기타),,151.0,031-481-0571,https://blog.naver.com/cityansan/222155306418,경기도 안산시 상록구 본오로 182 (본오동),37.3012795,126.8673218,N,N,N,N,N,N,N,N,N,Y,,,,,안산시,경기도
FC000039,나루아트센터,3.0,공공(문예회관),2005.0,785.0,02-2049-4711,http://www.naruart.or.kr/,서울특별시 광진구 능동로 76 (자양동),37.5373529,127.07052479999992,N,Y,N,N,N,Y,Y,Y,Y,Y,,,,,광진구,서울특별시
FC004051,피카디리플러스,1.0,민간(대학로 외),,0.0,,서울 종로구 돈화문로5가길 1 3층 304호,서울특별시 종로구 돈화문로5가길 1 (돈의동),37.5710275,126.9912303,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000023,인천어린이과학관,2.0,공공(기타),2011.0,412.0,032-550-3300,https://www.insiseol.or.kr/culture/icsmuseum/,인천광역시 계양구 방축로 21(방축동 108-1)  인천어린이과학관,37.55169662137111,126.739895619632,N,Y,Y,N,Y,Y,N,N,N,Y,,,,,계양구,인천광역시
FC001298,루미나아트홀 (구.시온아트홀),1.0,민간(대학로),2017.0,144.0,070-8719-9106,https://www.wwww.theblessed.net/,서울특별시 종로구 대학로8가길 52 (동숭동),37.5829439,127.00262709999993,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000528,동덕여대공연예술센터,1.0,민간(대학로),2001.0,411.0,02-940-4578,https://www.dongduk.ac.kr/kor/intro/subinstitute05.do,서울특별시 종로구 동숭길 126 (동숭동),37.5836998,127.0032999,N,N,N,N,N,Y,N,Y,N,Y,,,,,종로구,서울특별시
FC000194,경복궁아트홀,1.0,민간(대학로 외),2012.0,155.0,02-735-0506,https://gbgarthall.modoo.at/,서울특별시 종로구 자하문로 82 (효자동),37.5833005,126.97069980000003,N,N,N,N,N,N,N,N,N,N,,,,,종로구,서울특별시
FC000214,남동소래아트홀,2.0,공공(문예회관),2011.0,2235.0,032-427-8401,http://www.namdongcf.or.kr,인천광역시 남동구 아암대로1437번길 32 (논현동),37.3874966,126.7246381,N,N,N,N,N,Y,N,N,N,Y,,,,,남동구,인천광역시
FC002773,대중아트홀,1.0,민간(대학로 외),,0.0,032-565-4529,,인천광역시 서구 검단로768번1길 18 (불로동),37.612644,126.6850428,N,N,N,N,N,N,N,N,N,N,,,,,서구,인천광역시
FC000808,과천시민회관,2.0,공공(문예회관),1995.0,1309.0,02-504-7300,http://www.gccs.or.kr/dev_home/facilities/status.php,경기도 과천시 통영로 5 (중앙동),37.4279091,126.98950450000008,Y,Y,N,N,N,Y,N,Y,N,Y,,,,,과천시,경기도
